# Real function names for this PAL build, from bordplate's NTSC project RC1
# (codeberg.org/bordplate/RC1, config/symbols.txt), mapped to PAL addresses.
# Only confident mappings are listed; see docs/DECOMP_PROGRESS.md.
#
# The build and tools keep using func_<ADDR> (the address IS the name there);
# these names are annotated in src/ as comments.
#
# <pal symbol>  <mangled name>  <demangled>  | <evidence>

func_0011DFC8  __main  __main  | libgcc2 L__main, matched byte for byte
func_0023DFA0  videoDecSetStream__FP8VideoDeciiPFP7sceMpegP13sceMpegCbDataPv_iPv  videoDecSetStream(VideoDec *, int, int, int (*)(sceMpeg *, sceMpegCbData *, void *), void *)  | text: NTSC/PAL function-size alignment
func_0023DFC0  videoDecBeginPut__FP8VideoDecPPUcPiT1T2  videoDecBeginPut(VideoDec *, unsigned char **, int *, unsigned char **, int *)  | text: NTSC/PAL function-size alignment
func_0023DFE0  videoDecEndPut__FP8VideoDec  videoDecEndPut(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E000  videoDecReset__FP8VideoDec  videoDecReset(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E008  videoDecDelete__FP8VideoDec  videoDecDelete(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E040  videoDecAbort__FP8VideoDec  videoDecAbort(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E050  videoDecGetState  videoDecGetState  | text: NTSC/PAL function-size alignment
func_0023E058  videoDecSetState__FP8VideoDecUi  videoDecSetState(VideoDec *, unsigned int)  | text: NTSC/PAL function-size alignment
func_0023E068  videoDecPutTs__FP8VideoDecllPUci  videoDecPutTs(VideoDec *, long, long, unsigned char *, int)  | text: NTSC/PAL function-size alignment
func_0023E0B0  videoDecInputCount__FP8VideoDec  videoDecInputCount(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E0D8  videoDecFlush__FP8VideoDec  videoDecFlush(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E1B0  videoDecIsFlushed__FP8VideoDec  videoDecIsFlushed(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E1F8  videoDecMain__FPv  videoDecMain(void *)  | text: NTSC/PAL function-size alignment
func_0023E298  decBs0__FP8VideoDec  decBs0(VideoDec *)  | text: NTSC/PAL function-size alignment
func_0023E450  mpegError__FP7sceMpegP18sceMpegCbDataErrorPv  mpegError(sceMpeg *, sceMpegCbDataError *, void *)  | text: NTSC/PAL function-size alignment
func_0023E478  mpegNodata__FP7sceMpegP13sceMpegCbDataPv  mpegNodata(sceMpeg *, sceMpegCbData *, void *)  | text: NTSC/PAL function-size alignment
func_0023E5B8  voBufReset__FP5VoBuf  voBufReset(VoBuf *)  | text: NTSC/PAL function-size alignment
func_0023E5C8  voBufIsFull__FP5VoBuf  voBufIsFull(VoBuf *)  | text: NTSC/PAL function-size alignment
func_0023E5E0  voBufIncCount__FP5VoBuf  voBufIncCount(VoBuf *)  | text: NTSC/PAL function-size alignment
func_0023E658  voBufGetData__FP5VoBuf  voBufGetData(VoBuf *)  | text: NTSC/PAL function-size alignment
func_0023E698  voBufIsEmpty  voBufIsEmpty  | text: NTSC/PAL function-size alignment
func_0023E6A8  voBufGetTag__FP5VoBuf  voBufGetTag(VoBuf *)  | text: NTSC/PAL function-size alignment
func_0023E710  voBufDecCount__FP5VoBuf  voBufDecCount(VoBuf *)  | text: NTSC/PAL function-size alignment
