segment,name,vram,size
core_text,func_00118DA0,0x00118DA0,0x10
core_text,func_00118DB0,0x00118DB0,0x10
core_text,func_00118DC0,0x00118DC0,0x10
core_text,func_00118DD0,0x00118DD0,0x10
core_text,func_00118DE0,0x00118DE0,0x10
core_text,func_00118DF0,0x00118DF0,0x10
core_text,func_00118E00,0x00118E00,0x10
core_text,func_00118E10,0x00118E10,0x10
core_text,func_00118E20,0x00118E20,0x10
core_text,func_00118E30,0x00118E30,0x10
core_text,func_00118E40,0x00118E40,0x10
core_text,func_00118E50,0x00118E50,0x10
core_text,func_00118E60,0x00118E60,0x10
core_text,func_00118E70,0x00118E70,0x10
core_text,func_00118E80,0x00118E80,0x10
core_text,func_00118E90,0x00118E90,0x10
core_text,func_00118EA0,0x00118EA0,0x10
core_text,func_00118EB0,0x00118EB0,0x10
core_text,func_00118EC0,0x00118EC0,0xC
core_text,func_00118ED0,0x00118ED0,0x90
core_text,func_00118F60,0x00118F60,0xA4
core_text,func_00119008,0x00119008,0x7C
core_text,func_00119088,0x00119088,0x74
core_text,func_00119100,0x00119100,0x8
core_text,func_00119108,0x00119108,0x8
core_text,func_00119110,0x00119110,0xAC
core_text,func_001191C0,0x001191C0,0x8
core_text,func_001191C8,0x001191C8,0x14
core_text,func_001191E0,0x001191E0,0xA4
core_text,func_00119288,0x00119288,0x7C
core_text,func_00119308,0x00119308,0x20
core_text,func_00119328,0x00119328,0x68
core_text,func_00119390,0x00119390,0x68
core_text,func_001193F8,0x001193F8,0x68
core_text,func_00119460,0x00119460,0x68
core_text,func_001194C8,0x001194C8,0xD8
core_text,func_001195A0,0x001195A0,0xD4
core_text,func_00119678,0x00119678,0x94
core_text,func_00119710,0x00119710,0x4
core_text,func_00119718,0x00119718,0x44
core_text,func_00119760,0x00119760,0x4
core_text,func_00119768,0x00119768,0x30
core_text,func_00119798,0x00119798,0x24
core_text,func_001197C0,0x001197C0,0x34
core_text,func_001197F8,0x001197F8,0x34
core_text,func_00119830,0x00119830,0xC
core_text,func_00119840,0x00119840,0x24
core_text,func_00119864,0x00119864,0x4
core_text,func_00119868,0x00119868,0x24
core_text,func_00119890,0x00119890,0x3C
core_text,func_001198D0,0x001198D0,0x3C
core_text,func_00119910,0x00119910,0x194
core_text,func_00119AA8,0x00119AA8,0x150
core_text,func_00119BF8,0x00119BF8,0xD0
core_text,func_00119CC8,0x00119CC8,0xBC
core_text,func_00119D84,0x00119D84,0x4
core_text,func_00119D88,0x00119D88,0x38
core_text,func_00119DC0,0x00119DC0,0xB0
core_text,func_00119E70,0x00119E70,0x34
core_text,func_00119EA8,0x00119EA8,0x90
core_text,func_00119F38,0x00119F38,0x168
core_text,func_0011A0A0,0x0011A0A0,0x5EC
core_text,func_0011A690,0x0011A690,0x38
core_text,func_0011A6C8,0x0011A6C8,0x60
core_text,func_0011A728,0x0011A728,0x1C
core_text,func_0011A748,0x0011A748,0xC
core_text,func_0011A758,0x0011A758,0x18
core_text,func_0011A770,0x0011A770,0xC
core_text,func_0011A780,0x0011A780,0x280
core_text,func_0011AA00,0x0011AA00,0x34
core_text,func_0011AA38,0x0011AA38,0x2C
core_text,func_0011AA68,0x0011AA68,0x28
core_text,func_0011AA90,0x0011AA90,0x134
core_text,func_0011ABC8,0x0011ABC8,0x3C
core_text,func_0011AC08,0x0011AC08,0x3C
core_text,func_0011AC48,0x0011AC48,0x128
core_text,func_0011AD70,0x0011AD70,0xAC
core_text,func_0011AE1C,0x0011AE1C,0x4
core_text,func_0011AE20,0x0011AE20,0x19C
core_text,func_0011AFC0,0x0011AFC0,0x24
core_text,func_0011AFE8,0x0011AFE8,0xA8
core_text,func_0011B090,0x0011B090,0x1C
core_text,func_0011B0B0,0x0011B0B0,0x30
core_text,func_0011B0E0,0x0011B0E0,0xB4
core_text,func_0011B198,0x0011B198,0x60
core_text,func_0011B1F8,0x0011B1F8,0x4C
core_text,func_0011B248,0x0011B248,0xB0
core_text,func_0011B2F8,0x0011B2F8,0x140
core_text,func_0011B438,0x0011B438,0x8C
core_text,func_0011B4C8,0x0011B4C8,0x1EC
core_text,func_0011B6B8,0x0011B6B8,0x3C
core_text,func_0011B6F8,0x0011B6F8,0x14
core_text,func_0011B710,0x0011B710,0x5C
core_text,func_0011B770,0x0011B770,0x88
core_text,func_0011B7F8,0x0011B7F8,0x6C
core_text,func_0011B868,0x0011B868,0x384
core_text,func_0011BBF0,0x0011BBF0,0x4C
core_text,func_0011BC40,0x0011BC40,0x2C
core_text,func_0011BC70,0x0011BC70,0xC
core_text,func_0011BC80,0x0011BC80,0x2C
core_text,func_0011BCB0,0x0011BCB0,0x204
core_text,func_0011BEB8,0x0011BEB8,0x8C
core_text,func_0011BF48,0x0011BF48,0x34
core_text,func_0011BF80,0x0011BF80,0x284
core_text,func_0011C208,0x0011C208,0x17C
core_text,func_0011C388,0x0011C388,0x238
core_text,func_0011C5C0,0x0011C5C0,0x260
core_text,func_0011C820,0x0011C820,0x2C0
core_text,func_0011CAE0,0x0011CAE0,0xE8
core_text,func_0011CBC8,0x0011CBC8,0x70
core_text,func_0011CC38,0x0011CC38,0x78
core_text,func_0011CCB0,0x0011CCB0,0x1C
core_text,func_0011CCD0,0x0011CCD0,0x10
core_text,func_0011CCE0,0x0011CCE0,0x100
core_text,func_0011CDE0,0x0011CDE0,0x8C
core_text,func_0011CE70,0x0011CE70,0x208
core_text,func_0011D078,0x0011D078,0x1C
core_text,func_0011D098,0x0011D098,0x38
